grad,board_index,board_number,weight,solved,status,move_count,elapsed_seconds,moves
17,82,83,1.0,True,finished,31,3.40,RRLLLDDRURURRDLLLDLDDRUULURRRUR
17,86,87,1.0,True,finished,27,1.04,RRDDRDLRULDLLUULURRLDDDRRUU
17,87,88,1.0,True,finished,55,8.00,DDDDDRRLLUDRRRLLLUURRUUURRDRDDLLDRURUULDRDLUUULLDRURDDD
17,96,97,1.0,True,finished,31,0.64,RLLLUURDLDRRRULLULUURDDLDRRRDRU
17,106,107,1.0,True,finished,43,21.66,RRRLLLUURDULUUDDDRRDRRULULURUULDDRDDRRUUULL
17,117,118,1.0,True,finished,32,1.40,LURDLRURURRUULULLDRLLDDDRRUURULL
17,130,131,1.0,True,finished,30,6.03,RUUUUDDDLDRLLLLUDRRRRUUUULLLDL
17,147,148,1.0,True,finished,26,5.10,RRRRDDRDLDUUUULLDRURDDDRDL
17,148,149,1.0,True,finished,30,15.62,RRRURLUURDLLLDRDRUURRDLLLDLUUU
17,171,172,1.0,True,finished,24,19.50,LDLLRRURRDLLLRDDRDDLLLUU
17,176,177,1.0,False,timeout,0,350.29,
